2017-12-21 16:00:51.361 INFO  DefaultFactory Logging to 'C:\Users\mimon\Documents\REPOSITORIOS GIT\SchneiderTest\ClienteConsola\bin\Debug\' with level Info
2017-12-21 16:00:51.463 INFO  NServiceBus.LicenseManager No valid license could be found, falling back to trial license with start date '21/12/2017'

2017-12-21 16:00:51.487 INFO  NServiceBus.PerformanceMonitorUsersInstaller Did not attempt to add user 'DESKTOP-48DQNDE\mimon' to group 'Usuarios del monitor de sistema' since the process is not running with elevated privileges. Processing will continue. To manually perform this action, run the following command from an admin console:
net localgroup "Usuarios del monitor de sistema" "DESKTOP-48DQNDE\mimon" /add
2017-12-21 16:00:51.528 INFO  NServiceBus.PerformanceCounterHelper NServiceBus performance counter for '# of msgs pulled from the input queue /sec' is not set up correctly. To rectify this problem, consult the NServiceBus performance counters documentation.
2017-12-21 16:00:51.534 INFO  NServiceBus.PerformanceCounterHelper NServiceBus performance counter for '# of msgs successfully processed / sec' is not set up correctly. To rectify this problem, consult the NServiceBus performance counters documentation.
2017-12-21 16:00:51.540 INFO  NServiceBus.PerformanceCounterHelper NServiceBus performance counter for '# of msgs failures / sec' is not set up correctly. To rectify this problem, consult the NServiceBus performance counters documentation.
2017-12-21 16:01:25.588 INFO  NServiceBus.Unicast.UnicastBus Initiating shutdown.
2017-12-21 16:01:25.602 INFO  NServiceBus.Unicast.UnicastBus Shutdown complete.
2017-12-21 16:04:20.552 INFO  DefaultFactory Logging to 'C:\Users\mimon\Documents\REPOSITORIOS GIT\SchneiderTest\ClienteConsola\bin\Debug\' with level Info
2017-12-21 16:04:20.629 INFO  NServiceBus.LicenseManager No valid license could be found, falling back to trial license with start date '21/12/2017'

2017-12-21 16:04:20.657 INFO  NServiceBus.PerformanceMonitorUsersInstaller Did not attempt to add user 'DESKTOP-48DQNDE\mimon' to group 'Usuarios del monitor de sistema' since the process is not running with elevated privileges. Processing will continue. To manually perform this action, run the following command from an admin console:
net localgroup "Usuarios del monitor de sistema" "DESKTOP-48DQNDE\mimon" /add
2017-12-21 16:04:20.694 INFO  NServiceBus.PerformanceCounterHelper NServiceBus performance counter for '# of msgs pulled from the input queue /sec' is not set up correctly. To rectify this problem, consult the NServiceBus performance counters documentation.
2017-12-21 16:04:20.701 INFO  NServiceBus.PerformanceCounterHelper NServiceBus performance counter for '# of msgs successfully processed / sec' is not set up correctly. To rectify this problem, consult the NServiceBus performance counters documentation.
2017-12-21 16:04:20.708 INFO  NServiceBus.PerformanceCounterHelper NServiceBus performance counter for '# of msgs failures / sec' is not set up correctly. To rectify this problem, consult the NServiceBus performance counters documentation.
2017-12-21 16:04:23.130 INFO  NServiceBus.Unicast.UnicastBus Initiating shutdown.
2017-12-21 16:04:23.145 INFO  NServiceBus.Unicast.UnicastBus Shutdown complete.
2017-12-21 16:12:29.872 INFO  DefaultFactory Logging to 'C:\Users\mimon\Documents\REPOSITORIOS GIT\SchneiderTest\ClienteConsola\bin\Debug\' with level Info
2017-12-21 16:12:29.949 INFO  NServiceBus.LicenseManager No valid license could be found, falling back to trial license with start date '21/12/2017'

2017-12-21 16:12:29.979 INFO  NServiceBus.PerformanceMonitorUsersInstaller Did not attempt to add user 'DESKTOP-48DQNDE\mimon' to group 'Usuarios del monitor de sistema' since the process is not running with elevated privileges. Processing will continue. To manually perform this action, run the following command from an admin console:
net localgroup "Usuarios del monitor de sistema" "DESKTOP-48DQNDE\mimon" /add
2017-12-21 16:12:30.016 INFO  NServiceBus.PerformanceCounterHelper NServiceBus performance counter for '# of msgs pulled from the input queue /sec' is not set up correctly. To rectify this problem, consult the NServiceBus performance counters documentation.
2017-12-21 16:12:30.027 INFO  NServiceBus.PerformanceCounterHelper NServiceBus performance counter for '# of msgs successfully processed / sec' is not set up correctly. To rectify this problem, consult the NServiceBus performance counters documentation.
2017-12-21 16:12:30.034 INFO  NServiceBus.PerformanceCounterHelper NServiceBus performance counter for '# of msgs failures / sec' is not set up correctly. To rectify this problem, consult the NServiceBus performance counters documentation.
2017-12-21 16:12:31.610 INFO  NServiceBus.Unicast.UnicastBus Initiating shutdown.
2017-12-21 16:12:31.624 INFO  NServiceBus.Unicast.UnicastBus Shutdown complete.
2017-12-21 17:48:34.156 INFO  DefaultFactory Logging to 'C:\Users\mimon\Documents\REPOSITORIOS GIT\SchneiderTest\ClienteConsola\bin\Debug\' with level Info
2017-12-21 17:48:34.502 INFO  NServiceBus.LicenseManager No valid license could be found, falling back to trial license with start date '21/12/2017'

2017-12-21 17:48:34.527 INFO  NServiceBus.PerformanceMonitorUsersInstaller Did not attempt to add user 'DESKTOP-48DQNDE\mimon' to group 'Usuarios del monitor de sistema' since the process is not running with elevated privileges. Processing will continue. To manually perform this action, run the following command from an admin console:
net localgroup "Usuarios del monitor de sistema" "DESKTOP-48DQNDE\mimon" /add
2017-12-21 17:48:34.567 INFO  NServiceBus.PerformanceCounterHelper NServiceBus performance counter for '# of msgs pulled from the input queue /sec' is not set up correctly. To rectify this problem, consult the NServiceBus performance counters documentation.
2017-12-21 17:48:34.574 INFO  NServiceBus.PerformanceCounterHelper NServiceBus performance counter for '# of msgs successfully processed / sec' is not set up correctly. To rectify this problem, consult the NServiceBus performance counters documentation.
2017-12-21 17:48:34.581 INFO  NServiceBus.PerformanceCounterHelper NServiceBus performance counter for '# of msgs failures / sec' is not set up correctly. To rectify this problem, consult the NServiceBus performance counters documentation.
2017-12-21 17:48:34.602 INFO  ClienteConsola.Program Press 'P' to insert a Contador de Agua, or 'Q' to quit.
2017-12-21 17:48:40.691 INFO  ClienteConsola.Program Sending ContadorAgua ct, NumSerie = 121
2017-12-21 17:48:40.812 INFO  ClienteConsola.Program Press 'P' to insert a Contador de Agua, or 'Q' to quit.
2017-12-21 17:48:40.861 INFO  ClienteConsola.MessageHandler Received DarAltaContadorAgua, Numero de Serie = 121
2017-12-21 17:54:38.182 INFO  ClienteConsola.Program Sending ContadorAgua ct, NumSerie = 121
2017-12-21 17:54:38.229 INFO  ClienteConsola.Program Press 'P' to insert a Contador de Agua, or 'Q' to quit.
2017-12-21 17:54:38.244 INFO  ClienteConsola.MessageHandler Received DarAltaContadorAgua, Numero de Serie = 121
2017-12-21 17:54:49.149 INFO  NServiceBus.Unicast.UnicastBus Initiating shutdown.
2017-12-21 17:54:49.206 INFO  NServiceBus.Unicast.UnicastBus Shutdown complete.
2017-12-21 19:45:23.166 INFO  DefaultFactory Logging to 'C:\Users\mimon\Documents\REPOSITORIOS GIT\SchneiderTest\ClienteConsola\bin\Debug\' with level Info
2017-12-21 19:46:08.023 INFO  DefaultFactory Logging to 'C:\Users\mimon\Documents\REPOSITORIOS GIT\SchneiderTest\ClienteConsola\bin\Debug\' with level Info
2017-12-21 19:46:08.421 INFO  NServiceBus.LicenseManager No valid license could be found, falling back to trial license with start date '21/12/2017'

2017-12-21 19:46:08.452 INFO  NServiceBus.PerformanceMonitorUsersInstaller Did not attempt to add user 'DESKTOP-48DQNDE\mimon' to group 'Usuarios del monitor de sistema' since the process is not running with elevated privileges. Processing will continue. To manually perform this action, run the following command from an admin console:
net localgroup "Usuarios del monitor de sistema" "DESKTOP-48DQNDE\mimon" /add
2017-12-21 19:46:08.499 INFO  NServiceBus.PerformanceCounterHelper NServiceBus performance counter for '# of msgs pulled from the input queue /sec' is not set up correctly. To rectify this problem, consult the NServiceBus performance counters documentation.
2017-12-21 19:46:08.499 INFO  NServiceBus.PerformanceCounterHelper NServiceBus performance counter for '# of msgs successfully processed / sec' is not set up correctly. To rectify this problem, consult the NServiceBus performance counters documentation.
2017-12-21 19:46:08.515 INFO  NServiceBus.PerformanceCounterHelper NServiceBus performance counter for '# of msgs failures / sec' is not set up correctly. To rectify this problem, consult the NServiceBus performance counters documentation.
2017-12-21 19:46:08.530 INFO  ClienteConsola.Program Press 'P' to insert a Contador de Agua, or 'Q' to quit.
2017-12-21 19:46:10.949 INFO  ClienteConsola.Program Sending ContadorAgua ct, NumSerie = 121
2017-12-21 19:46:11.074 INFO  ClienteConsola.Program Press 'P' to insert a Contador de Agua, or 'Q' to quit.
2017-12-21 19:46:11.132 INFO  ClienteConsola.MessageHandler Received DarAltaContadorAgua, Numero de Serie = 121
2017-12-21 19:46:15.841 INFO  NServiceBus.Unicast.UnicastBus Initiating shutdown.
2017-12-21 19:46:15.873 INFO  NServiceBus.Unicast.UnicastBus Shutdown complete.
2017-12-21 20:55:42.852 INFO  DefaultFactory Logging to 'C:\Users\mimon\Documents\REPOSITORIOS GIT\SchneiderTest\ClienteConsola\bin\Debug\' with level Info
2017-12-21 20:55:43.233 INFO  NServiceBus.LicenseManager No valid license could be found, falling back to trial license with start date '21/12/2017'

2017-12-21 20:55:43.260 INFO  NServiceBus.PerformanceMonitorUsersInstaller Did not attempt to add user 'DESKTOP-48DQNDE\mimon' to group 'Usuarios del monitor de sistema' since the process is not running with elevated privileges. Processing will continue. To manually perform this action, run the following command from an admin console:
net localgroup "Usuarios del monitor de sistema" "DESKTOP-48DQNDE\mimon" /add
2017-12-21 20:55:43.300 INFO  NServiceBus.PerformanceCounterHelper NServiceBus performance counter for '# of msgs pulled from the input queue /sec' is not set up correctly. To rectify this problem, consult the NServiceBus performance counters documentation.
2017-12-21 20:55:43.307 INFO  NServiceBus.PerformanceCounterHelper NServiceBus performance counter for '# of msgs successfully processed / sec' is not set up correctly. To rectify this problem, consult the NServiceBus performance counters documentation.
